Time [s], Analyzer Name, Decoded Protocol Result
2.574875000000000,I2C,Setup Read to [0xA1] + ACK
2.575020000000000,I2C,0x00 + NAK
2.575220000000000,I2C,Setup Read to [0xA1] + ACK
2.575380000000000,I2C,0xFF + NAK
2.575630000000000,I2C,Setup Write to [0xA0] + ACK
2.575740000000000,I2C,0x00 + ACK
2.575865000000000,I2C,Setup Read to [0xA1] + ACK
2.575980000000000,I2C,0x00 + ACK
2.576100000000000,I2C,0xFF + ACK
2.576220000000000,I2C,0xFF + ACK
2.576340000000000,I2C,0xFF + ACK
2.576460000000000,I2C,0xFF + ACK
2.576580000000000,I2C,0xFF + ACK
2.576700000000000,I2C,0xFF + ACK
2.576820000000000,I2C,0x00 + ACK
2.576940000000000,I2C,0x22 + ACK
2.577060000000000,I2C,0x64 + ACK
2.577180000000000,I2C,0xA3 + ACK
2.577300000000000,I2C,0x1C + ACK
2.577420000000000,I2C,0xC7 + ACK
2.577540000000000,I2C,0xC5 + ACK
2.577660000000000,I2C,0x00 + ACK
2.577780000000000,I2C,0x00 + ACK
2.577900000000000,I2C,0x25 + ACK
2.578020000000000,I2C,0x11 + ACK
2.578140000000000,I2C,0x01 + ACK
2.578260000000000,I2C,0x03 + ACK
2.578380000000000,I2C,0x81 + ACK
2.578500000000000,I2C,0x2F + ACK
2.578620000000000,I2C,0x1D + ACK
2.578740000000000,I2C,0x78 + ACK
2.578860000000000,I2C,0x2A + ACK
2.578980000000000,I2C,0xE5 + ACK
2.579100000000000,I2C,0x25 + ACK
2.579220000000000,I2C,0xA6 + ACK
2.579340000000000,I2C,0x54 + ACK
2.579460000000000,I2C,0x44 + ACK
2.579580000000000,I2C,0xA1 + ACK
2.579700000000000,I2C,0x25 + ACK
2.579820000000000,I2C,0x14 + ACK
2.579940000000000,I2C,0x50 + ACK
2.580060000000000,I2C,0x54 + ACK
2.580180000000000,I2C,0xBF + ACK
2.580300000000000,I2C,0xEF + ACK
2.580420000000000,I2C,0x80 + ACK
2.580540000000000,I2C,0x81 + ACK
2.580660000000000,I2C,0x80 + ACK
2.580780000000000,I2C,0x71 + ACK
2.580900000000000,I2C,0x4F + ACK
2.581020000000000,I2C,0x81 + ACK
2.581140000000000,I2C,0x40 + ACK
2.581260000000000,I2C,0x95 + ACK
2.581380000000000,I2C,0x0F + ACK
2.581500000000000,I2C,0x95 + ACK
2.581620000000000,I2C,0x00 + ACK
2.581740000000000,I2C,0xA9 + ACK
2.581860000000000,I2C,0x40 + ACK
2.581980000000000,I2C,0x01 + ACK
2.582100000000000,I2C,0x01 + ACK
2.582220000000000,I2C,0x01 + ACK
2.582340000000000,I2C,0x01 + ACK
2.582460000000000,I2C,0x21 + ACK
2.582580000000000,I2C,0x39 + ACK
2.582700000000000,I2C,0x90 + ACK
2.582820000000000,I2C,0x30 + ACK
2.582940000000000,I2C,0x62 + ACK
2.583060000000000,I2C,0x1A + ACK
2.583180000000000,I2C,0x27 + ACK
2.583300000000000,I2C,0x40 + ACK
2.583420000000000,I2C,0x68 + ACK
2.583540000000000,I2C,0xB0 + ACK
2.583660000000000,I2C,0x36 + ACK
2.583780000000000,I2C,0x00 + ACK
2.583900000000000,I2C,0xE0 + ACK
2.584020000000000,I2C,0x0E + ACK
2.584140000000000,I2C,0x11 + ACK
2.584260000000000,I2C,0x00 + ACK
2.584380000000000,I2C,0x00 + ACK
2.584500000000000,I2C,0x1C + ACK
2.584620000000000,I2C,0x00 + ACK
2.584740000000000,I2C,0x00 + ACK
2.584860000000000,I2C,0x00 + ACK
2.584980000000000,I2C,0xFF + ACK
2.585100000000000,I2C,0x00 + ACK
2.585220000000000,I2C,0x37 + ACK
2.585340000000000,I2C,0x33 + ACK
2.585460000000000,I2C,0x37 + ACK
2.585580000000000,I2C,0x4D + ACK
2.585700000000000,I2C,0x48 + ACK
2.585820000000000,I2C,0x33 + ACK
2.585940000000000,I2C,0x4A + ACK
2.586060000000000,I2C,0x59 + ACK
2.586180000000000,I2C,0x35 + ACK
2.586300000000000,I2C,0x30 + ACK
2.586420000000000,I2C,0x36 + ACK
2.586545000000000,I2C,0x33 + ACK
2.586665000000000,I2C,0x31 + ACK
2.586785000000000,I2C,0x00 + ACK
2.586905000000000,I2C,0x00 + ACK
2.587025000000000,I2C,0x00 + ACK
2.587145000000000,I2C,0xFD + ACK
2.587265000000000,I2C,0x00 + ACK
2.587385000000000,I2C,0x32 + ACK
2.587505000000000,I2C,0x4B + ACK
2.587625000000000,I2C,0x1E + ACK
2.587745000000000,I2C,0x52 + ACK
2.587865000000000,I2C,0x0F + ACK
2.587985000000000,I2C,0x00 + ACK
2.588105000000000,I2C,0x0A + ACK
2.588225000000000,I2C,0x20 + ACK
2.588345000000000,I2C,0x20 + ACK
2.588465000000000,I2C,0x20 + ACK
2.588585000000000,I2C,0x20 + ACK
2.588705000000000,I2C,0x20 + ACK
2.588825000000000,I2C,0x20 + ACK
2.588945000000000,I2C,0x00 + ACK
2.589065000000000,I2C,0x00 + ACK
2.589185000000000,I2C,0x00 + ACK
2.589305000000000,I2C,0xFC + ACK
2.589425000000000,I2C,0x00 + ACK
2.589545000000000,I2C,0x48 + ACK
2.589665000000000,I2C,0x47 + ACK
2.589785000000000,I2C,0x32 + ACK
2.589905000000000,I2C,0x31 + ACK
2.590025000000000,I2C,0x36 + ACK
2.590145000000000,I2C,0x0A + ACK
2.590265000000000,I2C,0x20 + ACK
